編號,日期,時間,震央位置,緯度,經度,相對位置,震度,規模,深度
,2023-04-27,16:15,北緯 23.47 ° 東經 121.53 °, 23.47 , 121.53 ,花蓮縣政府南方  58.9  公里 ,3級,4.3,36.6
,2023-04-26,21:46,北緯 23.32 ° 東經 121.44 °, 23.32 , 121.44 ,臺東縣政府北北東方  69.1  公里 ,2級,3.7,25.9
,2023-04-26,17:03,北緯 23.22 ° 東經 120.43 °, 23.22 , 120.43 ,臺南市政府東北方  36.0  公里 ,2級,3.6,16.8
,2023-04-26,10:40,北緯 24.48 ° 東經 121.89 °, 24.48 , 121.89 ,宜蘭縣政府南南東方  30.3  公里 ,2級,3.3,15.1
,2023-04-26,03:10,北緯 24.82 ° 東經 122.23 °, 24.82 , 122.23 ,宜蘭縣政府東方  48.4  公里 ,1級,4.5,109.7
,2023-04-25,02:31,北緯 24.27 ° 東經 121.89 °, 24.27 , 121.89 ,花蓮縣政府東北方  41.4  公里 ,2級,4.3,27.4
,2023-04-24,21:37,北緯 22.79 ° 東經 121.15 °, 22.79 , 121.15 ,臺東縣政府北方  4.4  公里 ,2級,3.2,6.5
034   ,2023-04-24,21:35,北緯 22.8 ° 東經 121.15 °, 22.8 , 121.15 ,臺東縣政府北方  5.0  公里 ,4級,4.4,5.8
,2023-04-24,21:14,北緯 22.79 ° 東經 121.15 °, 22.79 , 121.15 ,臺東縣政府北方  4.2  公里 ,3級,3.5,6.2
,2023-04-24,15:26,北緯 24.7 ° 東經 121.74 °, 24.7 , 121.74 ,宜蘭縣政府西南方  4.1  公里 ,3級,3.7,9.2
,2023-04-24,15:12,北緯 22.78 ° 東經 121.29 °, 22.78 , 121.29 ,臺東縣政府東方  15.0  公里 ,2級,3.8,19.4
,2023-04-23,15:45,北緯 22.8 ° 東經 121.17 °, 22.8 , 121.17 ,臺東縣政府北北東方  4.9  公里 ,2級,3.3,5.9
,2023-04-23,06:17,北緯 23.32 ° 東經 120.41 °, 23.32 , 120.41 ,臺南市政府東北方  42.9  公里 ,3級,3.3,12.4
,2023-04-22,23:30,北緯 24.39 ° 東經 121.74 °, 24.39 , 121.74 ,宜蘭縣政府南方  38.2  公里 ,4級,3.1,6.0
,2023-04-22,22:10,北緯 24.34 ° 東經 121.77 °, 24.34 , 121.77 ,宜蘭縣政府南方  43.5  公里 ,2級,3.1,7.2
,2023-04-22,16:03,北緯 24.38 ° 東經 121.73 °, 24.38 , 121.73 ,宜蘭縣政府南方  38.8  公里 ,3級,4.0,5.9
,2023-04-22,08:20,北緯 23.26 ° 東經 120.97 °, 23.26 , 120.97 ,臺東縣政府北北西方  58.9  公里 ,3級,3.8,5.3
,2023-04-21,19:44,北緯 23.5 ° 東經 121.51 °, 23.5 , 121.51 ,花蓮縣政府南南西方  55.9  公里 ,3級,4.6,29.0
,2023-04-20,05:41,北緯 23.74 ° 東經 121.47 °, 23.74 , 121.47 ,花蓮縣政府南南西方  31.7  公里 ,3級,3.8,8.0
,2023-04-19,15:49,北緯 23.39 ° 東經 121.3 °, 23.39 , 121.3 ,花蓮縣政府南南西方  74.1  公里 ,2級,3.9,9.7
,2023-04-19,14:11,北緯 23.06 ° 東經 121.14 °, 23.06 , 121.14 ,臺東縣政府北方  34.1  公里 ,2級,3.3,3.4
,2023-04-19,02:53,北緯 24.16 ° 東經 121.31 °, 24.16 , 121.31 ,花蓮縣政府西北西方  37.1  公里 ,3級,3.7,7.2
,2023-04-18,03:33,北緯 24.36 ° 東經 121.9 °, 24.36 , 121.9 ,宜蘭縣政府南南東方  43.9  公里 ,3級,4.7,42.0
,2023-04-18,02:21,北緯 24.08 ° 東經 120.92 °, 24.08 , 120.92 ,南投縣政府東北方  30.6  公里 ,2級,3.5,23.6
033   ,2023-04-17,16:49,北緯 24.37 ° 東經 121.67 °, 24.37 , 121.67 ,宜蘭縣政府南南西方  41.3  公里 ,4級,4.7,23.0
,2023-04-17,03:17,北緯 22.75 ° 東經 120.91 °, 22.75 , 120.91 ,臺東縣政府西方  24.3  公里 ,2級,4.2,7.8
